date,open,high,low,close,volume,amount
2026-04-16,26256.8789,26400.5215,26113.6523,26333.0,965171308,0
2026-04-17,26551.1582,26719.5566,26481.2441,26672.4336,1201473476,0
2026-04-20,26662.3184,26670.1152,26412.5176,26590.3438,1050335716,0
2026-04-21,26658.8535,26730.6367,26405.2969,26479.4707,1103806703,0
2026-04-22,26715.9238,26942.1328,26662.875,26937.2754,1066880122,0
2026-04-23,26844.6133,27007.8711,26540.3242,26782.625,1251975754,0
2026-04-24,27082.416,27314.2148,26986.3906,27303.666,1520908906,0
2026-04-27,27278.2754,27315.2324,27158.875,27305.6777,1272315321,0
2026-04-28,26988.7695,27115.7656,26877.5918,27029.0117,1180150013,0
2026-04-29,27069.3633,27199.7246,26995.3809,27186.9844,1275339472,0
2026-04-30,27328.9863,27488.0312,27029.4102,27452.1191,1553042600,0
2026-05-01,27508.5723,27787.123,27501.4316,27710.3574,1192908644,0
2026-05-04,27731.3418,27822.3711,27504.0918,27651.8184,1098766752,0
2026-05-05,27895.0547,28065.6328,27844.2324,28015.0605,1325745470,0
2026-05-06,28234.0215,28608.6758,28208.2324,28599.1719,1424607697,0
